Param,Best Chain,Blocks,Final Height,Final Ratio,Final Diff,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
1,291,304,286,0.9828178694158075,5,13,1.0,0.9572368421052632,Final
2,514,563,510,0.9922178988326849,4,49,1.0,0.9129662522202486,Final
3,663,764,657,0.9909502262443439,6,101,1.0,0.8678010471204188,Final
4,752,884,745,0.9906914893617021,7,132,1.0,0.8506787330316742,Final
5,822,975,816,0.9927007299270073,6,153,1.0,0.8430769230769231,Final
6,871,1040,865,0.9931113662456946,6,169,1.0,0.8375,Final
7,913,1097,910,0.9967141292442497,3,184,1.0,0.8322698268003647,Final
8,951,1154,948,0.9968454258675079,3,198,1.0252525252525253,0.8240901213171578,Final
9,977,1187,975,0.9979529170931423,2,202,1.0396039603960396,0.823083403538332,Final
