Param,Best Chain,Blocks,Final Height,Final Ratio,Final Diff,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
1,612,1048,83,0.13562091503267973,529,418,1.055023923444976,0.583969465648855,Not Final
2,880,1412,83,0.09431818181818181,797,511,1.050880626223092,0.623229461756374,Not Final
3,1107,1715,83,0.07497741644083107,1024,588,1.0459183673469388,0.6454810495626823,Not Final
4,1308,2025,83,0.06345565749235474,1225,692,1.046242774566474,0.6459259259259259,Not Final
5,1474,2257,83,0.056309362279511534,1391,757,1.0435931307793924,0.6530793088170137,Not Final
6,1657,2513,83,0.05009052504526252,1574,830,1.0409638554216867,0.6593712693991246,Not Final
7,1820,2744,83,0.0456043956043956,1737,896,1.0379464285714286,0.6632653061224489,Not Final
8,1986,2983,83,0.04179254783484391,1903,968,1.037190082644628,0.6657727120348642,Not Final
9,2127,3165,83,0.03902209685002351,2044,1011,1.0365974282888228,0.6720379146919432,Not Final
10,2279,3383,83,0.036419482229047825,2196,1076,1.038104089219331,0.673662429796039,Not Final
11,2418,3573,83,0.03432588916459884,2335,1124,1.0373665480427046,0.6767422334172963,Not Final
12,2556,3770,83,0.03247261345852895,2473,1182,1.0380710659898478,0.6779840848806366,Not Final
13,2690,3963,83,0.030855018587360596,2607,1238,1.0363489499192247,0.6787787030027757,Not Final
14,2833,4200,83,0.02929756441934345,2750,1326,1.0429864253393666,0.6745238095238095,Not Final
15,2940,4355,83,0.028231292517006804,2857,1368,1.0431286549707601,0.6750861079219288,Not Final
16,3063,4517,83,0.027097616715638262,2980,1409,1.0454222853087296,0.6781049369050255,Not Final
17,3165,4670,83,0.02622432859399684,3082,1456,1.0446428571428572,0.6777301927194861,Not Final
18,3242,4759,547,0.1687230104873535,2695,1476,1.0440379403794038,0.6812355536877496,Not Final
