Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
10,987,1777,0,216,4.078703703703703,0.5554305008441193,Not Final
20,933,1768,0,147,7.299319727891157,0.5277149321266968,Not Final
30,942,1758,0,135,8.488888888888889,0.5358361774744027,Not Final
40,908,1765,0,100,17.85,0.5144475920679886,Not Final
50,892,1739,0,86,22.023255813953487,0.5129384703852788,Not Final
60,898,1742,0,67,22.0,0.5154994259471871,Not Final
70,904,1802,0,82,30.109756097560975,0.5016648168701443,Not Final
80,901,1792,0,71,33.49295774647887,0.5027901785714286,Not Final
90,889,1778,0,56,110.05357142857143,0.5,Not Final
100,877,1758,0,39,108.66666666666667,0.4988623435722412,Not Final
10,699,1320,692,267,2.6217228464419478,0.5295454545454545,Final
20,748,1471,732,170,5.952941176470588,0.5084976206662135,Final
30,793,1519,762,165,6.412121212121212,0.5220539828834759,Final
40,725,1447,701,120,12.516666666666667,0.5010366275051832,Final
50,743,1473,698,126,9.261904761904763,0.5044127630685675,Final
60,758,1531,555,66,39.93939393939394,0.4951012410189419,Final
70,741,1453,552,115,17.026086956521738,0.5099793530626291,Final
80,719,1469,654,86,52.104651162790695,0.48944860449285227,Final
90,772,1537,681,78,29.82051282051282,0.5022771633051398,Final
100,738,1494,671,83,56.0,0.4939759036144578,Final
