Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
1,1180,1669,0,432,1.150462962962963,0.7070101857399641,Not Final
2,976,1686,0,539,1.3747680890538034,0.5788849347568209,Not Final
3,845,1733,0,593,1.608768971332209,0.4875937680323139,Not Final
4,725,1743,0,616,1.9431818181818181,0.4159495123350545,Not Final
5,660,1739,0,613,2.161500815660685,0.37952846463484763,Not Final
6,635,1796,0,622,2.463022508038585,0.35356347438752783,Not Final
7,568,1705,0,577,2.852686308492201,0.33313782991202345,Not Final
8,516,1635,0,549,3.1475409836065573,0.3155963302752294,Not Final
9,487,1712,0,585,3.3213675213675216,0.2844626168224299,Not Final
10,454,1675,0,574,3.4599303135888504,0.271044776119403,Not Final
1,784,1122,560,308,1.1233766233766234,0.6987522281639929,Final
2,865,1557,152,512,1.3984375,0.5555555555555556,Final
3,707,1445,122,490,1.6489795918367347,0.4892733564013841,Final
4,651,1578,53,555,2.052252252252252,0.41254752851711024,Final
5,616,1559,117,566,1.9734982332155477,0.3951250801796023,Final
6,586,1620,106,570,2.3771929824561404,0.3617283950617284,Final
7,536,1549,88,535,2.37196261682243,0.3460296965784377,Final
8,484,1621,70,569,2.838312829525483,0.2985811227637261,Final
9,474,1665,12,570,3.4210526315789473,0.28468468468468466,Final
10,434,1547,84,545,2.9412844036697248,0.28054298642533937,Final
