Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
8,321,353,0,31,1.032258064516129,0.9093484419263456,Not Final
4,675,838,0,151,1.0794701986754967,0.8054892601431981,Not Final
2,1211,1741,0,450,1.191111111111111,0.6955772544514647,Not Final
1,1937,3468,0,1140,1.407017543859649,0.5585351787773933,Not Final
2/3,2443,5353,0,1960,1.638265306122449,0.45637960022417334,Not Final
1/2,2659,6799,0,2575,1.8998058252427183,0.3910869245477276,Not Final
2/5,2422,7186,0,2968,2.170485175202156,0.33704425271360977,Not Final
2/6,1602,9055,0,5655,9.177188328912466,0.17691882937603534,Not Final
2/7,1572,9092,0,5646,3.157279489904357,0.17289925208974924,Not Final
2/8,1293,11022,0,7360,6.863315217391304,0.11731083287969515,Not Final
8,297,340,212,43,1.0,0.8735294117647059,Final
4,561,720,434,154,1.0389610389610389,0.7791666666666667,Final
2,776,1135,587,330,1.1,0.6837004405286343,Final
1,1450,2909,86,1092,1.414835164835165,0.4984530766586456,Final
2/3,1447,2975,77,1154,1.4280762564991334,0.48638655462184877,Final
1/2,1428,3404,63,1351,1.769059955588453,0.4195064629847238,Final
2/5,1148,2298,606,845,1.5692307692307692,0.4995648389904265,Final
2/6,1361,3874,91,1750,1.7388571428571429,0.3513164687661332,Final
2/7,1284,3333,22,1393,2.8951902368987796,0.3852385238523852,Final
2/8,1274,3393,23,1415,2.1187279151943463,0.37547892720306514,Final
