Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
0,1539,1673,0,133,1.0075187969924813,0.9199043634190077,Not Final
5,98,337,0,31,10.838709677419354,0.29080118694362017,Not Final
10,48,138,0,21,9.238095238095237,0.34782608695652173,Not Final
15,56,230,0,45,8.822222222222223,0.24347826086956523,Not Final
20,41,50,0,5,1.8,0.82,Not Final
25,48,94,0,17,4.411764705882353,0.5106382978723404,Not Final
30,29,33,0,3,1.3333333333333333,0.8787878787878788,Not Final
35,27,55,0,14,3.5,0.4909090909090909,Not Final
40,25,35,0,6,1.8333333333333333,0.7142857142857143,Not Final
45,23,37,0,9,2.111111111111111,0.6216216216216216,Not Final
50,16,21,0,5,1.0,0.7619047619047619,Not Final
0,884,1063,753,179,1.0,0.8316086547507056,Final
5,86,379,3,39,19.666666666666668,0.22691292875989447,Final
10,36,110,1,16,7.4375,0.32727272727272727,Final
15,59,117,1,15,6.333333333333333,0.5042735042735043,Final
20,40,69,0,12,3.75,0.5797101449275363,Final
25,35,73,0,15,5.4,0.4794520547945205,Final
30,30,68,0,15,3.4,0.4411764705882353,Final
35,26,30,0,3,1.3333333333333333,0.8666666666666667,Final
40,27,54,0,11,3.3636363636363638,0.5,Final
45,24,28,0,3,1.3333333333333333,0.8571428571428571,Final
50,20,36,0,11,1.6363636363636365,0.5555555555555556,Final
