Height,FinalRatio,Distance,FinalHeights
1,0,1,0
0,0,0,0
Height,FinalRatio,Distance,FinalHeights
3,0,3,0
2,0,2,0
1,0,1,0
0,0,0,0
9,0,4,5
8,0,3,5
7,0,2,5
6,0,1,5
5,0,5,0
4,0,4,0
Height,FinalRatio,Distance,FinalHeights
8,3,5
7,2,5
6,1,5
5,5,0
4,4,0
2,2,0
1,1,0
9,4,5
0,0,0
3,3,0
10,5,5
